Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Audi A3 Sportback tfsi 150cv o Golf gti Performance ?;https://forum.quattroruote.it/threads/audi-a3-sportback-tfsi-150cv-o-golf-gti-performance.120080/page-7;10/01/2019 00:00;Ax-80;'Voglio esser sincer a me piacevano entrambe ero più propenso verso Aud poi siccome ad ogni preventivo mi facevano il gioco delle tre cart a me che son prestigiatore e manipolator ho deciso per BM dove ho trovato un venditore che invece si è dimostrato serio e risolutivo. Mica tutti son così ...';Beh tutto fa. E direi che al venditore va un plauso che si è accattivato il cliente in senso assoluto . Svolto egregiamente il suo lavoro. ;;;positivo;;;;;;;;;;;;
Lancia Ypsilon 2011;https://www.autopareri.com/forums/topic/41885-lancia-ypsilon-2011?&page=109#comments;24/05/2011 20:47;Feder;;Un breve video dove si vede tutto: interni esterni e l'auto in movimento ;Lancia;Ypsilon;neutro;;neutro;neutro;;neutro;;;;;;;
Autoradio originale con lettore mp3;https://forum.quattroruote.it/threads/autoradio-originale-con-lettore-mp3.116777/;29/05/2018 00:00;paolocabri;'Grazie. Ho guardato. Ma lo deve montare un eletrauto?';No. E' sufficiente montarlo ed inserire il codice ;;;neutro;;;;;;;;;;;;
Prova Renault Mégane Sporter 1.5 dci 110 cv Intens;https://www.autopareri.com/forums/topic/62427-prova-renault-m%C3%A9gane-sporter-15-dci-110-cv-intens;14/01/2018 13:31;Gabriz4;;Il 1.5 Renault è sempre una garanzia ;Renault;Mégane Sporter;positivo;molto positivo;;;;;;;;;;;
Presentazione sono un nuovo possessore di boxster 2.5 986;http://www.porschemania.it/discus/messages/502415/851694.html?1550000573;12/02/2019 14:58;miro911;;Ribadisco : Capite il soggetto ! ! ;;Boxster;neutro;;;;;;;;;;;;
Ciao a tutti!;https://www.bmwpassion.com/forum/threads/ciao-a-tutti.336068/;19/02/2016 00:00;wewwo;"'Ciao ragazzi del foru vi ho letto qualche volta in passato ed oggi sono qui ad iscrivermi per avere da voi lumi su una decisione che dovrei prendere! Premesso che ho una Jeep BU del 2016 4x4 che devo dire risulta molto comoda per le mie abitudini. Tuttavia sto valutando di affiancarle una ""vecchia"" Bmw e8 120 con all'attivo 150mila KM. L'affiancamento non comporterebbe nessuna spesa (non devo acquistare l'aut ma ce l'ho già in famiglia ma sono indeciso se fare questa scelta oppure rivendere questa e87 e comprare un'utilitaria (che sarebbe più adatta allo scopo). Ditemi voi se posso continuare ad usare questo post per dettagliare meglio i miei dubbi oppure c'è una sezione ad hoc! Grazie a tutti!'";"Ciao ragazzi del forum vi ho letto qualche volta in passato ed oggi sono qui ad iscrivermi per avere da voi lumi su una decisione che dovrei prendere ! Premesso che ho una Jeep BU del 2016 4x4 che devo dire risulta molto comoda per le mie abitudini.Tuttavia sto valutando di affiancarle una ""vecchia"" Bmw e87 120d con all'attivo 150mila KM.L'affiancamento non comporterebbe nessuna spesa ( non devo acquistare l'auto ma ce l'ho già in famiglia ) ma sono indeciso se fare questa scelta oppure rivendere questa e87 e comprare un'utilitaria ( che sarebbe più adatta allo scopo ) .Ditemi voi se posso continuare ad usare questo post per dettagliare meglio i miei dubbi oppure c'è una sezione ad hoc ! Grazie a tutti ! ";Jeep;BU;positivo;;;;;;;;;;;;
Renault Laguna e Laguna SporTour M.Y. 2013;https://www.autopareri.com/forums/topic/51391-renault-laguna-e-laguna-sportour-my-2013;15/04/2013 21:05;kla6630;;"Io la trovo ""vecchierrima"" e anonima non mi piace insomma.. Dato che c'erano avrebbero potuto almeno adattare il frontale al nuovo stile.. ";Renault;Laguna;negativo;;;negativo;;;;;;;;;
incredibile ma vero!!!;https://www.bmwpassion.com/forum/threads/incredibile-ma-vero.25189/;22/11/2004 00:00;Roger84;'tante scuse tutte insieme nn le avevo mai viste... nn è + facile dire...in quel test è andata meglio la quattroporte..??';http://www.autotitre.com/forum/up/f6b7ced015.jpg ;;;negativo;;;;;;;;;;;;
Legge di stabilità..ecco perché Renzi si definisce rottamatore;https://www.bmwpassion.com/forum/threads/legge-di-stabilit%C3%A0-ecco-perch%C3%A9-renzi-si-definisce-rottamatore.243850/page-6;16/01/2008 00:00;giannimpower;;Ma essere in Europa a cosa ci serve ? perché tutte queste tasse sulle auto tra bolli passaggi di proprietà assicurazione carburante..e in cambio di cosa ? Ma per piacere..e il bello che si lamenta chi paga 50 60 euro per l'inutile imu sulla casa..e io devo pagare 400 euro di bollo per una macchina che ne vale si e no mille e per farci 5000 km all'anno.. ? Ma su quale principio ? Maaa ;;;negativo;;;;;;;;;;;;
Mitsubishi ASX (Topic Ufficiale - 2009);https://www.autopareri.com/forums/topic/36140-mitsubishi-asx-topic-ufficiale-2009?&page=61#comments;21/09/2010 20:47;Sik;;Ciao. Mi potresti precisare a che velocità procedevi ( durante la rigenerazione ) e quanto è durato il processo ? ;Mitsubishi;ASX;neutro;;;;;;;;;;;;
BMW M6 2012 - Prj. F12/F13/F14;https://www.autopareri.com/forums/topic/46303-bmw-m6-2012-prj-f12f13f14?&page=4#comments;12/12/2012 13:42;francomilano;;un INCUBO ! ;BMW;M6;negativo;;;;;;;;;;;;
Alfa Romeo Giulietta (Topic Ufficiale - 2009);https://www.autopareri.com/forums/topic/36127-alfa-romeo-giulietta-topic-ufficiale-2009?&page=1294#comments;03/12/2012 11:45;CoreVD;;Concordo. Anche io quando acquistai la mia Volvo si parlava del resty imminente... Adesso sono circa 10 anni che il modello non viene restylizzato ;Volvo;;neutro;;;;;;;;;;;;
NUOVA IGNIS;https://forum.quattroruote.it/threads/nuova-ignis.108121/page-24;11/12/2017 00:00;pilistation;;tanto la gente ha già il cervello spento quando usa il retronebbia con auto alle spalle e lì non c'è nessun automatismo se non quello di essere un idiota ;;;negativo;;;;;;;;;;;;
Consigli per l'acquisto di Octavia Gtec Wagon 14;https://forum.quattroruote.it/threads/consigli-per-lacquisto-di-octavia-gtec-wagon-1-4.113041/;30/10/2017 00:00;miki15;;Octavia a metano monta il 1.4TSI da 110 cv ora se non erro c'è anche il 1.0 comunque un amico ha il golf nè è entusiasto sia per i consumi che per le prestazioni a parte questo l'unica cosa per toglierti i tuoi dubbi è di andarla a provare la sto valutando anchio solo che qui non ci sono concessionarie ;Volkswagen;Golf;positivo;;;;;positivo;positivo;;;;;;neutro
Avvistamento;https://www.bmwpassion.com/forum/threads/avvistamento.17130/;20/04/2004 00:00;teo 121121;;Avvistata questa mattina Porsche Cayman gialla. Bella Bella mi piace ;Porsche;Cayman;positivo;;;positivo;;;;;;;;;
Museo Alfa Romeo: finalmente il TAR ha respinto il vergognoso ricorso contro il vincolo.;https://forum.quattroruote.it/threads/museo-alfa-romeo-finalmente-il-tar-ha-respinto-il-vergognoso-ricorso-contro-il-vincolo.49441/page-127;26/03/2012 00:00;GenLee;"Maxetto ha scritto: giampi47 ha scritto: Mi viene pero' spontaneo significarVi che manifestare quel poco di mia conoscenz prima o poi avra' un termine e quindi............addio loquacita' ....(speriamo tardi) ... Caro giampi voglio ancora una volta sottolineare che io non ho niente contro i tuoi post così esaurienti e tecnic infatti ho dett e non solo i che messi in un 3d apposito sarebbero più valorizzati. Io ritengo che i tuoi pur validissimi interventi vengano sfruttati per mantenere in alto questo threra solo questo aspetto trovo non molto bello.... Giampi sfruttato? E da ch se posso chiedere? Ma come ti permett Maxetto? Lo hai detto alla moderazion me lo hai scritto in privat adesso lo dici a Giamp sono settimane che andate da Erode a Pilato per sostenere questa campagna di accuse ed insinuazioni indegn ma non avete vergogna? ( lo s domanda stupida ). Ma guarda che noi non siamo mica te e 15 che avete bisogno di fare giochetti ed intessere dialoghi a du per sloga monosillabi e monostellin per tenere sù i thread che vi interessano. Ma quanto dev'essere tollerata ancora questa polemica permanent con queste insinuazioni?... Non più tollerata. Ricominciamo a parlare di museo e del suo contenut ringraziando ancora una volta Giampi per tutti i suoi contribut e per la sua pazienza e tolleranza verso tutti. "" Maxetto ha scritto: giampi47 ha scritto: Mi viene pero' spontaneo significarVi che manifestare quel poco di mia conoscenz prima o poi avra' un termine e quindi............addio loquacita' ....(speriamo tardi) ... Caro giampi voglio ancora una volta sottolineare che io non ho niente contro i tuoi post così esaurienti e tecnic infatti ho dett e non solo i che messi in un 3d apposito sarebbero più valorizzati. Io ritengo che i tuoi pur validissimi interventi vengano sfruttati per mantenere in alto questo threra solo questo aspetto trovo non molto bello.... Giampi sfruttato? E da ch se posso chiedere? Ma come ti permett Maxetto? Lo hai detto alla moderazion me lo hai scritto in privat adesso lo dici a Giamp sono settimane che andate da Erode a Pilato per sostenere questa campagna di accuse ed insinuazioni indegn ma non avete vergogna? ( lo s domanda stupida ). Ma guarda che noi non siamo mica te e 15 che avete bisogno di fare giochetti ed intessere dialoghi a du per sloga monosillabi e monostellin per tenere sù i thread che vi interessano. Ma quanto dev'essere tollerata ancora questa polemica permanent con queste insinuazioni? "" giampi47 ha scritto: Mi viene pero' spontaneo significarVi che manifestare quel poco di mia conoscenz prima o poi avra' un termine e quindi............addio loquacita' ....(speriamo tardi) ... Caro giampi voglio ancora una volta sottolineare che io non ho niente contro i tuoi post così esaurienti e tecnic infatti ho dett e non solo i che messi in un 3d apposito sarebbero più valorizzati. Io ritengo che i tuoi pur validissimi interventi vengano sfruttati per mantenere in alto questo threra solo questo aspetto trovo non molto bello. ""Mi viene pero' spontaneo significarVi che manifestare quel poco di mia conoscenz prima o poi avra' un termine e quindi............addio loquacita' ....(speriamo tardi) """;"Gli interventi di giampi sono senza obra di dubbio di arricchimento e di ""elevazione"" di questa discussione. Possiamo solo ringraziarlo. Nello stesso tempo credo che ognuno possa esprimere la propria opinione qualunque essa sia. ";;;neutro;;;;;;;;;;;;
Colonnina EVAD Fast Collegno Ikea.;https://www.forumelettrico.it/forum/topic5130.html?sid=9b3d6660a00250109c0902db2fb0b90b;23/04/2019 12:42;marcober;;la 158esima..ultimamente pioggia di Fast in Piemonte19XM32T7CB3W000180 Disponibile - Accesso liberoPiazza Svezia 1 - IKEACOLLEGNOTipi di preseCCS DisponibileCHAdeMO DisponibileType 2 43kW DisponibilePotenza massima 95kW;;;neutro;;;;;;;;;;;;
Alfa Romeo 4C 2013;https://www.autopareri.com/forums/topic/56324-alfa-romeo-4c-2013?&page=147#comments;04/03/2013 18:02;accul;;bella bella bella si cavolo bella ;Alfa Romeo;4C;positivo;;;positivo;;;;;;;;;
"Solito ""assaggio"" a Maranello : un giretto sulla 488 GTB";https://forum.quattroruote.it/threads/solito-assaggio-a-maranello-un-giretto-sulla-488-gtb.112085/;09/09/2017 00:00;Mastertanto;"""Se posso porre una domanda a Mastertanto...esteticamente come ti è parsa? Le particolarità rispetto alla 458 sotto questo aspetto come le aperture laterali per raffreddare il motore o i doppi scarichi invece dei tre della precedente sono secondo te azzeccate? Per il resto complimenti per la recensione mi interessa sempre leggere le impressioni degli altri in questo caso poi ti sei soffermato su un' aspetto che finora è stato poco trattato come la somiglianza con la 458 quindi ancora meglio.""";"Esteticamente è una 458 modificata : se sia meglio o peggio è più questione di gusto personale.... per me si equivalgono mi piacciono le fiancate con grossi sfoghi d'aria della 488 ma mi piace anche la coda della 458 meno ""lineare"" ma forse più riuscita. Quello che proprio non mi piace - mi fa quasi ribrezzo a dirla tutta - sono i cerchi ruota neri che entrambe avevano e che evidentemente sono ora di gran moda : ma a me fanno un po' schifo. Ma insomma queste sono cose per chi se la compra non per chi ci fa un giretto una tantum.... Infine quella provata ( la 488 ) aveva il tetto in carbonio che mi sa tanto essere uno degli optional in carbonio offerti dalla Ferrari : a prezzi oltre il mostruoso so che qualche pezzo in carbonio ed il listino di una 488 schizza subito a 250.000 e passa euro... cose note comunque si sa com'è il mercato del lusso. . ";Ferrari;488 GTB;positivo;negativo;;neutro;;;;;;;;;
Ibiza FR 1.2 tsi;https://forum.quattroruote.it/threads/ibiza-fr-1-2-tsi.84852/;02/01/2014 00:00;gringoxx;'oggi ho fatto visita al concessionari beh.... sorpresa negativa... nel 2014 il 105 cv non verrà più propost sarà sostituito dal 86 cv !!! che dire... Ci sono commenti da parte vostra per questa motorizzazioni? mio padre ha una fabia con questa motorizzazion va molto ben desideravo più potenza però... riprogrammo la centralina?';peccato ! se è veramente così penso sia una scelta commerciale date le poche vendite in italia della FR tsi. Hai contattato Seat italia per confermare tale informazione ? anche perchè se mettessero il 1.4 aspirato da 86cv sulla fr sulla style che mettono ? bah ! perchè in spagna o in germania o molti altri paesi europei dove seat viene apprezzata ed i numeri di vendita sono importanti o dove il mercato dell'auto si è ripreso il tsi sulla fr viene proposto sul 1.2 da 105cv passando al 1.4 da 140cv manuale al 1.4 da 150cv dsg. Se non fosse più ordinabile in italia potresti ricorrere all'importazione da qualche altro paese UE tramite qualche salonista. La garanzia vale comunque in tutta europa. Saluti ;Seat;Ibiza FR;negativo;neutro;;;;;;;;;;;neutro
"Maserati Quattroporte ; la nuova generazione";https://forum.quattroruote.it/threads/maserati-quattroporte-la-nuova-generazione.38014/;23/03/2011 00:00;pilota54;;"Per ora circolano prototipi con carrozzeria dell'attuale Quattroporte. Io penso che la forma non cambierà di molto sarà modernizzata ma una forma vincente difficilmente viene rivoluzionata. La vettura sarà presentata a Francoforte 2011 e commercializzata nel 2012. Poi nel 2012 con commercializzazione presumibile dal 2013 saranno presentati il SUV e la ""segmento E premium"". ";Maserati;Quattroporte;positivo;;;;;;;;;;;;
prestazioni thesis insufficenti;https://www.autopareri.com/forums/topic/1767-prestazioni-thesis-insufficenti;05/09/2003 11:11;Artemis;;Vorrei essere ancora completamente d'accordo con te come in precedenza. Però bisogna considerare che il discorso sull'economia non cade mai. La thesis è un'auto venduta già in perdita. venderne di più significherebbe perderci di più. Spendere ulteriormente per un cambio automatico serio potrebbe essere oltremodo deleterio. Penso che fiat debba farsi un bel prospetto sulle auto da dotare del suddetto cambio. Sicuramente la Large e la sua consorella Lancia. Sicuramente la 158 e 168. Deve riucire a dotarne il maggior numero possibile di auto in modo che l'operazione risulti più redditizia possibile. Inoltre considera che tutte le versioni sportive di queste auto andrebbero dotate di un robotizzato dato che un epicicloidale sarebbe perlomeno ridicolo. Fiat deve anche sviluppare i robotizzati per grandi coppie. Va bene che un robotizzato è un normale cambio manuale a cui cambia solo il gruppo di attuatori. però è anche vero che la messa a punto è sempre lunga e difficoltosa per un cambio del genere. E' inutile. Per espandere bene il suo mercato anche all'estero ed in america Fiat dovrà affrontare di petto il discorso cambi che la vede tuttora ad un livello completamente insufficiente. Sicuramente l'acquisto di un costoso e sofisticato cambio automatico non si può muovere solo per la Thesis. ciao ciao ! ;Fiat;Thesis;negativo;negativo;;;negativo;;;;;;;;
Kia Picanto 2011;https://www.autopareri.com/forums/topic/41268-kia-picanto-2011?&page=6#comments;24/08/2011 09:56;superkappa125;;Tutta sballata di proporzioni dai fari alle ruote. ;Kia;Picanto;negativo;;;negativo;;;;;;;;;
Buona settimana dal 20/08 al 26/08;https://forum.quattroruote.it/threads/buona-settimana-dal-20-08-al-26-08.118036/page-2;26/08/2018 00:00;miranda453;;buongiorno. ;;;neutro;;;;;;;;;;;;
NUOVA VOLVO XC90;https://forum.quattroruote.it/threads/nuova-volvo-xc90.97203/page-6;42313;smargia2002;"""Dopo una lunga indecision confront prov informazioni etc etc. tra la nuova Audi Q7 e la nuova Volvo XC90 finalmente ho scelto... Ho ordinato la XC90 che ha vinto sul filo... Tra le varie cose mi ha convinto l'impegno della Volvo in tema di sicurezz quindi la sua filosofia complessiva in fatto di sicurezz la linea esterna come anche gli interni comodissimi e pù rispondenti ai miei gust una certa voglia di essere senza apparire troppo... Che ne dit ho fatto bene? 8)""";Complimenti. Goditela e quando arrivapistacileimpresdioni. aMastati inizia con qualche info supplementare: versione c colore allestimento motorizzazione accessori prezzo sconti etc. ;Volvo;XC90;positivo;positivo;molto positivo;positivo;;;;;;;;;
Peugeot 208 GTi 2013;https://www.autopareri.com/forums/topic/48536-peugeot-208-gti-2013?&page=6#comments;26/06/2014 08:13;Touareg 2.5;;In Peugeot si sono fissati con sto bicolore Di certo il teaser non era proprio un teaser in quanto la vettura non ha il muso rosso ma nero ( a meno che non ci siano due versioni ) . Aggiornato il primo messaggio con le foto ufficiali. ;Peugeot;208 Gti 2013;negativo;negativo;;negativo;;;;;;;;;
Info yaris ibrida;https://forum.quattroruote.it/threads/info-yaris-ibrida.109024/page-2;21/03/2017 00:00;ziland;;Ammetto di essermi espresso in modo troppo generico usarla come un auto normale intendo senza strafare ma neanche andare in elettrico non bisogna avere paura di accendere il termico e avere un' andatura regolare e moderata in base al traffico senza per questo fare da tappo. Poi va bèh è dalle 3 che sono alzato può darsi che non mi sono spiegato bene ancora... in tal caso mi arrendo ma sono sempre le solite raccomandazioni che si fanno. Saluti ;Toyota;Yaris;neutro;;;;;neutro;;neutro;neutro;;;;
Consiglio per acquisto chr ibrida;https://forum.quattroruote.it/threads/consiglio-per-acquisto-chr-ibrida.120930/;03/02/2019 00:00;Wolfox79;;Il percorso Bergamo Milano l'ho fatto pure io con una IS300h e la media e sui 18 a 130kmh ma non viaggio per risparmiare guido e basta. Credo che la scelta migliore sia la Auris/Corolla la CHR la compri solo per l'estetica perché un SUV non consumerà mai meno di una vettura normale. Ma a parte tutto questo confronto alla mia sembra strano che faccia i 13/15. Oppure questo e un dato Pieno-Pieno ? Da quella parte io sono sui 16 ma non risparmio qualche tirata qui e là. Se vuoi la CHR prendi il modello con le gomme più strette ;;CHR;negativo;;;positivo;;;negativo;;;;;;
Tagliandi... che dire... e che fare?;https://forum.quattroruote.it/threads/tagliandi-che-dire-e-che-fare.95810/;25/04/2015 00:00;renatom;;Dipende molto dalla concessionaria. Ho avuto per 10 anni una Mazda 3 I serie. Finché ho fatto i tagliandi in concessionaria mi fatturavano prezzi Ford. Alcuni ricambi hanno però prezzi semplicemente folli. Ho farlo 230.000 km e non ho mai cambiato le pastiglie. ;Mazda;3;neutro;;;;;;;;;;;positivo;neutro
Consiglio CRV;https://forum.quattroruote.it/threads/consiglio-crv.105722/page-2;29/08/2016 00:00;arrma81;;Si..ho appena scaricato e visto che è proprio come diceva il concessionario. Ci penso un altro pochino e a settembre decido il da farsi. Mi studio anche in cosa consiste questo pacchetto convenienza.. Ma tra lifestyle e elegance ? Vale la pena spendere questo 2000 euro in più ? ;;CRV;neutro;;;;;;;;;;;;neutro
Renault arkana;https://forum.quattroruote.it/threads/renault-arkana.118083/;17/08/2018 00:00;NEWsuper5;;Non so come siano riusciti ( la rivista ) a stiracchiare così la Megane grandcoupè... Per me sempre se sarà messo in commercio sarà abbastanza diverso. ;Renault;Arkana;negativo;;;;;negativo;;;;;;;
Jaguar F-Type Project 7 2014;https://www.autopareri.com/forums/topic/55591-jaguar-f-type-project-7-2014;24/06/2014 10:58;J-Gian;;Avrei mai detto... Serie limitata immagino ? ;Jaguar;F-Type Project 7 2014;neutro;;;;;;;;;;;;
