Titolo,URL,Timestamp,User,(Testo Citato),TESTO,Costruttore,Modello,Brand,Interni,Esterni,Meccanica,Prestazioni,Consumi/Autonomia,Motore,Elettrico,Fuoristrada,Elettronica di Bordo,Manutenzione,Assistenza/Concessionari
Ferrari 599XX (Topic Ufficiale - 2009),https://www.autopareri.com/forums/topic/32760-ferrari-599xx-topic-ufficiale-2009?&page=6#comments,2010-02-16 18:49:31,ItalianDriver,,Ma e piu rapida della FXX a Fiorano ! ! ! ,,,,,,,,,,,,,,
Volkswagen Golf VI GTI (Topic Ufficiale - 2009),https://www.autopareri.com/forums/topic/33049-volkswagen-golf-vi-gti-topic-ufficiale-2009?&page=5#comments,2009-04-06 14:04:18,Sonata_Arctica,,Scusate intendo male o sono DUEMILA EURO DI VERNICIATURA ? ? ? ? ,,,,,,,,,,,,,,
Ciao a tutti!,https://www.bmwpassion.com/forum/threads/ciao-a-tutti.339816/,2005-01-31 00:00:00,Mauretto,,Ciao sono Vittorio ho una BMW Serie 1. ,,,,,,,,,,,,,,
Alfa Romeo 4C 2013,https://www.autopareri.com/forums/topic/56324-alfa-romeo-4c-2013?&page=556#comments,2013-09-20 00:08:24,Ospite,,Tempone ? Non vorrei sbagliarmi ma credo che sia arrivata persino dietro la Caterham... ,,,,,,,,,,,,,,
Annuntio vobis gaudium magnum......,http://www.porschemania.it/discus/messages/815/585656.html?1322257284,2011-11-11 09:28:00,danielterry,,Wowwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ,,,,,,,,,,,,,,
BMW Serie 8 Coupé 2018,https://www.autopareri.com/forums/topic/65310-bmw-serie-8-coup%C3%A9-2018,2018-06-16 10:16:37,Savage,,Vogliamo parlare del peso ? la 850 nella realtà...sarà quasi 2000 kg🤔 ,,,,,,,,,,,,,,
Centro Stile Alfa Romeo,https://www.autopareri.com/forums/topic/10648-centro-stile-alfa-romeo?&page=2#comments,2005-01-10 06:26:38,il FUSI,,mah.............. ,,,,,,,,,,,,,,
Alfa 149,https://www.bmwpassion.com/forum/threads/alfa-149.10886/page-2,2005-02-03 00:00:00,realboy,,scusate ma fate caso alla parte anteriore........................................................................ e al taglio della fiancata................................................... è uguale alla 1er ,,,,,,,,,,,,,,
Alfa Romeo Rombo?,https://forum.quattroruote.it/threads/alfa-romeo-rombo.116326/page-3,2018-05-03 00:00:00,pilota54,,"Secondo me il crossover ci sta certo che ci sta ma andrebbe comunque affiancato da una nuova segmento C. Tutte le case in quel segmento di mercato hanno sia la ""C"" che il Suv. E' inutile elencarle sono praticamente tutte. ",,,,,,,,,,,,,,
Yaris 2007 cambio M-MT: la cambio o la riparo???,https://forum.quattroruote.it/threads/yaris-2007-cambio-m-mt-la-cambio-o-la-riparo.118020/,2018-08-19 00:00:00,nephtys59@gmail.com,,Ho una Yaris del 2007 Diesel con cambio automatico che ha percorso circa 191.000 Km. A parte i tagliandi e i vari richiami Toyota non ha mai avuto bisogno di riparazioni. Qualche settimana fa per la prima volta ho avuto un allarme sul cambio automatico che si è bloccato in quinta. Spostandolo in sequenziale e dopo qualche chilometro rimettendola in automatico il cambio ha ripreso a funzionare. Dato che comunque dovevo fare il tagliando dei 195.000 ho fatto controllare il problema. Mi hanno riscontrato un problema sull'attuatore del cambio ( consumato ) e per ora l'hanno registrato ma se si ripresenta il problema è da cambiare ed il preventivo è di 2.200 eur tutto compreso. Tra l'altro dovrei sistemare i fari opachi ( troppo sottili per essere rilucidati per la prossima revisione a Marzo ) ed attualmente non faccio più tanta strada come prima. Sono molto combattuta perché finanziariamente questo non è proprio il momento di affrontare una sostituzione dell'auto ma mi domando se valga la pena di spenderci tutti questi soldi per ripararla dato il chilometraggio e l'età dell'auto. Cosa mi consigliate ? Se dovessi optare per l'auto nuova ho bisogno del cambio automatico per via di un problema al piede sinistro e mi par di capire che la nuova Yaris con cambio automatico c'è solo in versione ibrida con cambio e-cvt. Com'è questa macchina ? Vorrei rimanere su Toyota perché mi sono sempre trovata molto bene come auto e come assistenza e non mi lamento certo che il primo problema si verifichi a 191.000 km anzi ! ! ! Sono certa che qualsiasi altra macchina mi avrebbe dato problemi molto prima. Ringrazio anticipatamente per un consiglio. ,,,,,,,,,,,,,,
Osservazioni sul Power Cruise Control per allargarne il bacino di utenza,https://www.forumelettrico.it/forum/osservazioni-sul-power-cruise-control-per-allargarne-il-bacino-di-utenza-t5095-20.html?sid=d0ecedc0b92cbd06a1d0bccba03c4c03&sid=d0ecedc0b92cbd06a1d0bccba03c4c03,2019-03-21 11:19:00,Diego,,"...punti di vista...personalmente consiglio di fare 800-1000 km in giornata. è un esperienza che apre la mente su molte cose con gli ev. io per primo nel mio viaggio di 3000 km in una settimana NON ho ascoltato i consigli saggi di chi aveva 3 veicoli ev alle spalle e migliaia di km. ci ho sbattuto la testa. non mi sono fatto male x fortuna ma mi è servito moltissimo.mi scuso spero di non andare troppo OT: breve esperienza elettrica della mia compagna ( casa lavoro 12+12 km/giorno ) . questo viaggio di 3000 km l ho fatto con la mia compagna che mi ha sempre sostenuto ma non ha mai guidato elettrico e quindi giustamente alcune cose non le capisce. si è appena fatta 7 mesi ( tutto l inverno ) in twizy. ha rischiato di rimanere a piedi 3 volte almeno e 1 volta è rimasta a piedi in garage. le esperienze le ha dovute fare da sola ! da 2 giorni una una c-zero. ecco l esperienza della twizy è stata FONDAMENTALE per lei ora ha dei limiti meno restrittivi.se avesse avuto subito una c-zero o una zoe quasi sicuramente sarebbe rimasta a piedi con twizy e non avrebbe apprezzato tale mezzo ( fare un passo indietro è molto difficile ) .Ho già anticipato le potenzialità di PCC alla mia compagna ( ripercorrendo mentalmente il viaggio di 3000 km fatto però con PCC ) . ho subito dopo accennato che ""pare"" ci sia la possibilità di avere PCC per c-zero. lei è già esaltata perchè sa benissimo che con uno strumento come PCC potrà arrivare a casa in sicurezza SEMPRE ! ovviamente non utilizzerà mai PCC al massimo delle sue potenzialità ma lo userà per vivere una vita in elettrico il + serena possibile.",,,,,,,,,,,,,,
Alfa Romeo 159 2005,https://www.autopareri.com/forums/topic/13571-alfa-romeo-159-2005?&page=123#comments,2005-03-09 14:45:12,bialbero,,bha abbi pazienza ma a m sembra che la 156 sia opera di De Silva la 147 di egger la 156 rest di Guigiaro ,,,,,,,,,,,,,,
Alfa Romeo Stelvio,https://forum.quattroruote.it/threads/alfa-romeo-stelvio.103307/page-75,2018-05-14 00:00:00,pilota54,,Benvenuto sul forum di Quattroruote Hudson Rocket. ,,,,,,,,,,,,,,
Alfa Romeo: filosofia di progetto (come deve essere un'Alfa vera),https://www.autopareri.com/forums/topic/35842-alfa-romeo-filosofia-di-progetto-come-deve-essere-unalfa-vera?&page=8#comments,2008-10-04 08:23:10,bialbero,,ahahahahahaha taci guarda che tra qualche tempo qualcosa per uso quotidiano bello bello ci scappa ,,,,,,,,,,,,,,
Motomondiale - GP d'Olanda,https://forum.quattroruote.it/threads/motomondiale-gp-dolanda.117244/,2018-07-02 00:00:00,drusus,'A Zarco avran tolto la moto buona?',Diciamo che quando ti fidanzi con il nemico..... Diventi un po' meno amico. Citofonare Pedrosa. Comunque sulle piste tecniche come Assen i più buoni e quelli con maggior pelo ed esperienza saltano sempre fuori... ,,,,,,,,,,,,,,
Alpine A110 2017,https://www.autopareri.com/forums/topic/62768-alpine-a110-2017?&page=28#comments,2017-06-27 22:03:23,poliziottesco,,Se io avrei quei soldi comunque compro una A3 TDI consuma di meno e ci da' il calcio in culo ,,,,,,,,,,,,,,
Consumi Audi Q3 2.0 TDI 150CV,https://forum.quattroruote.it/threads/consumi-audi-q3-2-0-tdi-150cv.103221/page-2,2016-03-26 00:00:00,arizona77,'Con la A3 Ambition o con la Scirocc se non rallentavo a 6 erano graffi sicuri e 100 euro minimo di carrozziere :!:',Sei gia' a buon punto.... per i 150 ( io non ci ho mai provato con dei 18 barra 60 ) magari fa lo stesso ,,,,,,,,,,,,,,
Ma nessuno dice che la nuova serie 3...,https://forum.quattroruote.it/threads/ma-nessuno-dice-che-la-nuova-serie-3.121936/page-4,2019-04-03 00:00:00,Ax-80,'beh da se compri una Corvette e non sai quello che stai facendo sei un demente ...come comprare una Panigale come prima moto ...bisogna essere particolarmente geniali ...non tutte le macchine vanno guidate allo stesso modo',lo so ma intendevo dire che li per li vai con qualunque cosa....poi bisogna vedere come p.s se conti gli incidenti dei calciatori capisci cosa intendo dire... ,,,,,,,,,,,,,,
Mondiale F.1 2019 - GP d'Australia,https://forum.quattroruote.it/threads/mondiale-f-1-2019-gp-daustralia.121545/page-5,2019-03-11 00:00:00,ALGEPA,'Anche coloro che sono in 9/10° posizione dovranno veder se conviene fermarsi e fare un pi magari perdono la posizione.',Probabilmente solo quando ti trovi con un buon margine da chi ti segue conviene farlo alla fine vedremo già dal primo Gp che effetti sortira questa iniziativa ,,,,,,,,,,,,,,
Alfa Romeo Stelvio 2017,https://www.autopareri.com/forums/topic/62477-alfa-romeo-stelvio-2017?&page=464#comments,2018-11-23 11:35:44,nubironaSW,,Due secondi su quasi 20 km sono un niente..... ,,,,,,,,,,,,,,
Lancia Ypsilon (post 2012): problema inserimento autoradio aftermarket,https://forum.quattroruote.it/threads/lancia-ypsilon-post-2012-problema-inserimento-autoradio-aftermarket.98703/,2015-09-17 00:00:00,ottovalvole,,Mio papà ha comprato un autoradio majestic con mp3 bluetooth e tanto altro non avendo lettore cd è profondo quasi la metà di quelli classici vedi se trovi qualcosa di simile ma di marca ,,,,,,,,,,,,,,
Mondiale F.1 - GP dell'Azerbaijan,https://forum.quattroruote.it/threads/mondiale-f-1-gp-dellazerbaijan.116225/page-10,2018-04-29 00:00:00,flori2,,Risposta politica di Riccardo. Non accusa nessuno. Verstappen si scusa con la squadra. Quando in Red Bull glielo faranno capire che sta solo buttato via punti ? ,,,,,,,,,,,,,,
Alfa Romeo 4C 2013,https://www.autopareri.com/forums/topic/56324-alfa-romeo-4c-2013?&page=914#comments,2014-09-30 13:42:09,TonyH,,Porsche e Nissan sono impressionanti. Specie in partenza. Sembra che le altre avessero messo la retro o si siano addormentate ! ,,,,,,,,,,,,,,
Fiat Grande Punto (Topic Ufficiale 2006),https://www.autopareri.com/forums/topic/20567-fiat-grande-punto-topic-ufficiale-2006?&page=38#comments,2008-01-09 20:07:09,ykdg1984,,Ma io la penso come te... non posso farci niente... dico solo che confermo che sono critiche spesso messe in avanti dalla stampa francese... Ecco un esempio... test della Bravo T-jet 120 : BENE: motore gradevole prezzo linea. MALE : Consumo Confort Plastiche economiche... Fiat Bravo 1.4 T-Jet 120 ch : Nouveau souffle - Essais auto - turbo.fr ,,,,,,,,,,,,,,
[AIUTO!] Acquisto auto VW usata con problemi,https://forum.quattroruote.it/threads/aiuto-acquisto-auto-vw-usata-con-problemi.122104/,2019-04-10 00:00:00,FAUST50,,Si però anche tu ma provare l'auto prima ? Prova a sentire anche il proprietario precedente potrebbe riservarti altre sorprese non proprio piacevoli. Fai valere la garanzia che ogni vettura anche usata ha se proprio non vuole capire ci sono sempre gli avvocati. Auguri ,,,,,,,,,,,,,,
RS4 Avant arrivata,https://www.bmwpassion.com/forum/threads/rs4-avant-arrivata.29548/page-2,2006-06-25 00:00:00,henry_z4,,bellissima ! ,,,,,,,,,,,,,,
C-HR: sta arrivando.,https://forum.quattroruote.it/threads/c-hr-sta-arrivando.106124/page-4,2016-11-16 00:00:00,derblume,,secondo me la Toyota fa benissimo a proporre la C-HR solo ibrido o benzina. sopratutto la ultima versione del HSD é davvero piacevole anche dove nelle versioni precidente era discutibile ( lunghe salite ) . tra altro martedi prossimo vado provare la Ioniq e sono curioso che differenza fa tra sistema Toyota e Kia/Hyundai. il venditore mi diceva...farò un po di km prima perché la batteria sia ben carica per la prova ( ! ? ) perché avevo detto che volevo provarlo in salita per vedere come si comporta. ,,,,,,,,,,,,,,
Mai piu' un'Alfa Romeo,https://forum.quattroruote.it/threads/mai-piu-unalfa-romeo.119044/,2018-11-03 00:00:00,procida,,"Permettetemi una banale considerazione: bravi tedeschi ! ! Che c'entra ? C'entra c'entra... perchè se tocca leggere ""mai più Alfa Romeo"" per un problema certamente fastidioso ma non certo irrisolvibile in cui è incappata la Brera del nostro amico farsl e poi trovare autentici ""drammi"" meccanici e assistenziali sulle pagine di altri marchi premmiumm spesso liquidati con pazienza infinita e giustificazioni varie da parte degli utenti di quelle griffe tutto ciò significa davvero che in Teutonia hanno lavorato alla grande e che per tutti gli altri ormai non c'è molto da fare.. Comunque non penso sia difficilissimo trovare motorini per la capote di rotazione o seminuovi... Salutoni ",,,,,,,,,,,,,,
Domanda per alfisti DOC,https://forum.quattroruote.it/threads/domanda-per-alfisti-doc.110712/page-3,2017-06-07 00:00:00,?angelo0,"'Ciao a tutti. Ormai è passato un anno dalla Giulia e la domanda mi sorge spontanea: ho avuto modo di sentire affermazioni del tipo "" alfa con la giulia poi morir diranno agli alfisti che li hanno dato ciò che volevano le vendite andranno male e morirà marchio e tutti i filistei "" ( da addetti ai lavori per altro ). Chiedo a voi alfisti se oggi possiamo dire- per fortuna!- che era una bella cantonata! P P.s. perdonate se vi catalogo come "" alfisti""ma vorrei sentire il parere di gente come voi che ha passione e memoria storica del marchio.'",Pensare che la Giulia sia stata fatta solo per gli alfisti Doc si puo dire solo per dirne una . Una cosa é certa che loro sono la base per cui é stata fatta di questo sono sicuro. Ció lo si vede dai piu piani industriali di Marchionne che agli inizi metteva sempre di voler raggiucere le200- 400 mila unitá che ancora oggi cerca. Difatto questo é il potenziale di Alfa Romeo quando si parla di alfisti Doc. Oggi dare una risposta a chi ha detto che la giulia potesse essere l unica alfa e poi addio credo che dopo la Stelvio possiamo dare la rispotsa negativa in senso assoluto NO ! Non sará cosi ormai il treno é partito e lo fermeranno solo i mercati non accettando il prodotto Alfa Romeo. Per Ció che riguarda la SW non vedo al momento un cosi tanto pericolo che non si faccia anche se l hanno scritto la berlina é stata presentata un anno fa non dieci anni fa quindi ancora siamo dentro i paramitri che possa arrivare.Poi cé il fatto che far uscire la SW da subito poteva intralciare il SUV per il problema prezzo: 1 ) Avremmo visto una SW piu cara della berlina 2 ) un Suv piu caro della SW e piu caro di quanto costa oggi. Poi non é davvero detto che la SW avrebbe tolto tutti i clienti alla triade tedesca magari un centinaio si ma non credo che le vendite sarebbero arrivati a 2000 il mese di maggio. ( La triade ha le flotte ) Meglio spendere i soldi che hanno per i due Nuovi Suv per il 2018 e chissa che non ci esce fuori pure Alfetta piu coupe tra 2018 e 2019 e per dirla piu grande anche la nuova Giulietta. ,,,,,,,,,,,,,,
Quanti siamo e chi siamo,http://www.porschemania.it/discus/messages/22971/139270.html?1136584345,2005-12-18 19:00:00,muddyblues,,ciao. cayenne baby V6 3.2 aprile 2005 black full bella come il sole...,,,,,,,,,,,,,,
Renault Clio 2012,https://www.autopareri.com/forums/topic/47867-renault-clio-2012?&page=78#comments,2013-05-07 18:21:34,J-Gian,,Sono tornato a vederla per conto di una mia amica l'auto è bella ma la qualità percepita ci ha lasciato un po' di amaro in bocca. Dettagli come le guarnizioni raschiafinestrino staccate ai bordi su più di un esemplare o altre plastiche interne dall'aspetto troppo economico ci han fatto rimpiangere il vecchio modello. Scartata peccato. Peccato anche perché i prezzi con lo sconto sono ottimi. ,,,,,,,,,,,,,,
Buona settimana dal 02/07/2018 al 08/07/2018,https://forum.quattroruote.it/threads/buona-settimana-dal-02-07-2018-al-08-07-2018.117285/,2018-07-06 00:00:00,ivanpg,,Cavolo quando si è a casa il tempo vola ,,,,,,,,,,,,,,
Yeti tsi 1.2 prima 115000 Km scarsa affidabilità,https://forum.quattroruote.it/threads/yeti-tsi-1-2-prima-115000-km-scarsa-affidabilit%C3%A0.115343/page-2,2018-03-19 00:00:00,gbortolo,,"Mi chiedevo come mai tanti problemi con Yeti ( vedi altro post recente in merito ) e pochissimi per Octavia II che di base è la stessa vettura ? Chiaro par di capire che molti son legati allo sfigato 1 2 TSI a catena. Ma leggo di problemi diffusi e non solo al motore. Dall'altro in un post parla un felicissimo ex possessore di Yeti a gasolio con problemi con la nuova Octavia III. Il dubbio è che problemi anche banali ma di difficile ""messa a punto"" finiscano per rendere negativo il rapporto con la propria auto. Quando magari un problema più serio ma risolto al volo finisca col pesare meno. ",,,,,,,,,,,,,,
C'è qualcuno che è soddisfatto della sua Mazda?,https://forum.quattroruote.it/threads/c%C3%A8-qualcuno-che-%C3%A8-soddisfatto-della-sua-mazda.96774/page-9,2015-07-24 00:00:00,melego73,,Altro giro altro motore andato A questo gli ha pure sputato le bielle a 20000km http://www.mazdaclub.it/forum/posting.php ? mode=reply&f=139&t=24408 i miei commenti li potete leggere la e a naso questo cliente non e' molto soddisfatto. buone vacanze per chi ci va ,,,,,,,,,,,,,,
Pezzo di ricambio originale fatturato esorbitante!!?,https://forum.quattroruote.it/threads/pezzo-di-ricambio-originale-fatturato-esorbitante.88992/,2014-09-13 00:00:00,moltipuntidivista,,da come illustri la situazione sembrerebbe proprio di sì. Ma la mia proposta è: fatti fare un preventivo da qualche meccanico vicino senza menzionare assicurazioni. E con quello chiedi spiegazioni al tuo meccanico apparentemente un po' truffaldino. ,,,,,,,,,,,,,,
Pseudo-analisi evoluzione alfa,https://www.autopareri.com/forums/topic/14285-pseudo-analisi-evoluzione-alfa?&page=3#comments,2005-07-25 00:53:44,il FUSI,,"Ma io poi vorrei sapere sta menata premium quà quanto vi lega nei confronti............. per me che Alfa la guido non è premium ( ergo: vista come chissà che punto di arrivo ) quale BMW per me personalmente dico e per quello che sento della gente. Poi che uno che guarda alla 159 debba guardare per forza nel ""premium"" inteso come ""la triade"" mi paiono un po' pippe mentali. La categoria merceologica ed il prezzo correttamente scontato di 147 la rendono sicuramente concorrente di Golf ma anche di altre vetture che hanno meno blasone e listini + bassi. Ma vi credete veramente che uno che va a considerare un'Alfa la paragona solo alle marche ""premium"" ? ",,,,,,,,,,,,,,
Lexus comincia fare sul serio !,https://forum.quattroruote.it/threads/lexus-comincia-fare-sul-serio.91710/,2014-10-25 00:00:00,derblume,,"sembra che la Lexus ala fine ha capito che ci vuole ben più che macchine valide e perfette per attirare l'attenzione del pubblico. con la nuova Lexus RC versione coupé della iS la Lexus è seriamente intenzionato di entrare nel campo di gare GT3. una specie di ""world-race-car"" per confrontarsi con i maggior concorrenti ( BMW Mercedes e Audi ) . unico pecco del progetto ( per il mio gusto ) è il fatto che non si tratta di un modello ibrido. http://newsroom.toyota.co.jp/en/detail/4101939 Attached files /attachments/1864992=39998-Lexus RC-F.jpg ",,,,,,,,,,,,,,
